File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
ATL_se0_ag1_f_01_1,59,ATL_int_01,67.5942,69.1056,1.5113999999999947,You ain't gonna claim nothing else?,1.0
ATL_se0_ag1_f_01_1,432,ATL_int_01,526.584,529.2264,2.642400000000066,"Oh, okay. I- I see. I ain't did economics til",1.0
ATL_se0_ag1_f_01_1,473,ATL_se0_ag1_f_01,577.5818,580.7058,3.12399999999991,I ain't really go for all that cause I got a real weak stomach.,1.0
ATL_se0_ag1_f_01_1,542,ATL_se0_ag1_f_01,689.9566,691.4577,1.501100000000065," Oh, that ain't even yours.",1.0
ATL_se0_ag1_f_01_1,607,ATL_int_01,794.6876,797.7961,3.108500000000049,"Ain't gonna lie, I was like, oh man I forgot how to say this word.",1.0
ATL_se0_ag1_f_01_1,616,ATL_se0_ag1_f_01,807.432,810.2791,2.847099999999955,"I'm like, I ain't never seen that when I was in school RD-NAME-3.",1.0
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5617999999999483,"It's not- I'm not gonna say it ain't good parenting,",1.0
ATL_se0_ag1_f_01_1,857,ATL_int_01,1209.3309,1215.7217,6.390800000000127,I ain't gonna lie. I knew a couple of little notes on the recorder too. I was turnt for a second and then it just started getting advanced.,1.0
ATL_se0_ag1_f_01_1,891,ATL_int_01,1279.8298,1282.0318,2.201999999999998,"trying, I'm like, maybe he ain't gonna do",1.0
ATL_se0_ag1_f_01_1,984,ATL_int_01,1425.9485,1428.9445,2.9960000000000946,"You know they gonna say something about that, but it ain't that big of a deal.",1.0
ATL_se0_ag1_f_01_1,1119,ATL_se0_ag1_f_01,1654.5945,1657.3734,2.7789000000000215, I don't know. I ain't even have no girl names in my head.,1.0
ATL_se0_ag1_f_02_1,207,ATL_se0_ag1_f_02,195.6341,196.5467,0.9125999999999976,people who ain't white.,1.0
ATL_se0_ag1_f_02_1,582,ATL_se0_ag1_f_02,587.627,590.178,2.5510000000000446,"He ain't got green or blue eyes. His eyes is brown,",1.0
ATL_se0_ag1_f_02_1,910,ATL_se0_ag1_f_02,952.4455,957.8072,5.361699999999928,"That was the time where everybody caught up with each other. Everybody linked up, seen family members they ain't seen in years,",1.0
ATL_se0_ag1_f_02_1,1152,ATL_se0_ag1_f_02,1253.6214,1256.0587,2.43730000000005,"because just cause you don't see it, that don't mean it ain't happening.",1.0
ATL_se0_ag1_f_02_1,1419,ATL_se0_ag1_f_02,1547.0058,1551.4333,4.427500000000009,"Down here y'all see somebody pull in the neighborhood, y'all ain't pay attention. Y'all like, oh that's such and such. You live up the street.",1.0
ATL_se0_ag1_f_02_1,1490,ATL_se0_ag1_f_02,1638.9581,1641.9161,2.9579999999998563,"And they like, nah, nah, nah, he ain't call you a bitch.",1.0
ATL_se0_ag1_f_02_1,1491,ATL_se0_ag1_f_02,1642.1791,1644.3651,2.185999999999922,He- he ain't call you a bitch. He just-,1.0
ATL_se0_ag1_f_02_1,1493,ATL_se0_ag1_f_02,1644.9787,1648.0192,3.0405000000000655,"he just said the word bitch, but he ain't call you a bitch. And I'm like,",1.0
ATL_se0_ag1_f_02_1,1718,ATL_se0_ag1_f_02,1915.917,1919.0002,3.0832000000000335,it ain't even about the team no more. It's about the individual player at this point.,1.0
ATL_se0_ag1_f_02_1,1719,ATL_int_01,1917.3116,1917.7249,0.4132999999999356,It ain't.,1.0
ATL_se0_ag1_f_02_1,1801,ATL_se0_ag1_f_02,2016.2523,2018.8096,2.557299999999941,it ain't nothing but worldwide big ass shadow.,1.0
ATL_se0_ag1_f_02_1,1830,ATL_se0_ag1_f_02,2046.438,2046.972,0.5339999999998781,"Yeah, it ain't.",1.0
ATL_se0_ag1_m_01_1,461,ATL_se0_ag1_m_01,643.0631,645.4679,2.404800000000023,It ain't take too long for me to start getting in shit up there.,1.0
ATL_se0_ag1_m_01_1,531,ATL_se0_ag1_m_01,749.1887,750.6779,1.4891999999999825,"they don't got cameras, they ain't gonna know.",1.0
ATL_se0_ag1_m_01_1,591,ATL_se0_ag1_m_01,832.7156,833.9545,1.2389000000000578,You ain't been here all week.,1.0
ATL_se0_ag1_m_01_1,608,ATL_se0_ag1_m_01,850.2618,851.2678,1.0059999999999718,I ain't taking no notes.,1.0
ATL_se0_ag1_m_01_1,1525,ATL_se0_ag1_m_01,2191.8168,2192.81,0.993199999999888,Ain't got that one.,1.0
ATL_se0_ag1_m_01_1,1547,ATL_se0_ag1_m_01,2211.0813,2214.8263,3.7450000000003456,"And you know what I'm saying, RD-NAME-2 means man in charge. I ain't know if niggas knew that.",1.0
ATL_se0_ag1_m_01_1,1552,ATL_Int_01,2218.392,2219.0673,0.675300000000334,I ain't heard that.,1.0
ATL_se0_ag1_m_01_1,1738,ATL_se0_ag1_m_01,2512.8381,2515.6136,2.775500000000193,"I ain't gonna like, bruh what the fuck is this? You know what I'm saying, but",1.0
ATL_se0_ag1_m_01_1,1740,ATL_se0_ag1_m_01,2516.0892,2517.5673,1.4781000000002678,nah that ain't my- my choice.,1.0
ATL_se0_ag1_m_01_1,1889,ATL_Int_01,2745.0514,2745.9858,0.934400000000096,"I ain't gonna lie though, I f-",1.0
ATL_se0_ag1_m_02_1,147,ATL_se0_ag1_m_02,147.7479,149.6452,1.8973000000000013,you know what I'm saying. You ain't even cocky at all.,1.0
ATL_se0_ag1_m_02_1,799,ATL_se0_ag1_m_02,868.0779,870.8981,2.8202,So from now on what we talk about ain't out the rectum.,1.0
